motorista,data,indicador,valor
caleb_santos@saae.sp.gov.br,01/04/2025,67ed59c0b77c97b96847a349,8
caleb_santos@saae.sp.gov.br,01/04/2025,67ed59d9b77c97b96847a34b,8
caleb_santos@saae.sp.gov.br,01/04/2025,67edaa3e40c3f4f221469029,10
caleb_santos@saae.sp.gov.br,01/04/2025,67edaa5440c3f4f22146902b,9
isadoracarolinasilva@outlock.com,01/04/2025,67ed59c0b77c97b96847a349,6
isadoracarolinasilva@outlock.com,01/04/2025,67ed59d9b77c97b96847a34b,6
isadoracarolinasilva@outlock.com,01/04/2025,67edaa3e40c3f4f221469029,8
isadoracarolinasilva@outlock.com,01/04/2025,67edaa5440c3f4f22146902b,5
gabriel_novaes@signa.net.br,01/04/2025,67ed59c0b77c97b96847a349,5
gabriel_novaes@signa.net.br,01/04/2025,67ed59d9b77c97b96847a34b,5
gabriel_novaes@signa.net.br,01/04/2025,67edaa3e40c3f4f221469029,9
gabriel_novaes@signa.net.br,01/04/2025,67edaa5440c3f4f22146902b,6
luzia.ayla.cardoso@unilever.com,01/04/2025,67ed59c0b77c97b96847a349,9
luzia.ayla.cardoso@unilever.com,01/04/2025,67ed59d9b77c97b96847a34b,8
luzia.ayla.cardoso@unilever.com,01/04/2025,67edaa3e40c3f4f221469029,10
luzia.ayla.cardoso@unilever.com,01/04/2025,67edaa5440c3f4f22146902b,8
vitoria_elaine_oliveira@charquesorocaba.com.br,01/04/2025,67ed59c0b77c97b96847a349,3
vitoria_elaine_oliveira@charquesorocaba.com.br,01/04/2025,67ed59d9b77c97b96847a34b,3
vitoria_elaine_oliveira@charquesorocaba.com.br,01/04/2025,67edaa3e40c3f4f221469029,5
vitoria_elaine_oliveira@charquesorocaba.com.br,01/04/2025,67edaa5440c3f4f22146902b,4
